chunk,accuracy,precision,recall,f1
83,0.958,0.9596602972399151,0.9955947136563876,0.9772972972972973
84,0.944,0.9505376344086022,0.9888143176733781,0.9692982456140351
85,0.94,0.9539473684210527,0.9797297297297297,0.9666666666666667
86,0.944,0.9469214437367304,0.9933184855233853,0.9695652173913043
87,0.964,0.9662447257383966,0.9956521739130435,0.9807280513918629
88,0.81,0.775,0.9841269841269841,0.8671328671328671
89,0.764,0.2839506172839506,0.9583333333333334,0.4380952380952381
90,0.95,1.0,0.5370370370370371,0.6987951807228916
91,0.962,0.9393939393939394,0.6458333333333334,0.7654320987654321
92,0.974,1.0,0.74,0.8505747126436781
93,0.956,0.896551724137931,0.5777777777777777,0.7027027027027027
94,0.976,0.975609756097561,0.7843137254901961,0.8695652173913043
95,0.962,0.9111111111111111,0.7321428571428571,0.8118811881188119
96,0.974,1.0,0.7636363636363637,0.865979381443299
97,0.964,1.0,0.7049180327868853,0.8269230769230769
98,0.96,1.0,0.6153846153846154,0.7619047619047619
99,0.934,1.0,0.5,0.6666666666666666
100,0.946,0.9393939393939394,0.5535714285714286,0.6966292134831461
101,0.97,0.9069767441860465,0.78,0.8387096774193549
102,0.958,0.8653846153846154,0.7627118644067796,0.8108108108108109
103,0.966,0.8863636363636364,0.7647058823529411,0.8210526315789474
104,0.958,0.96875,0.6078431372549019,0.7469879518072289
105,0.956,1.0,0.5925925925925926,0.7441860465116279
106,0.964,0.9411764705882353,0.6666666666666666,0.7804878048780488
107,0.974,0.90625,0.7435897435897436,0.8169014084507042
108,0.956,0.9523809523809523,0.6666666666666666,0.7843137254901961
109,0.97,0.9736842105263158,0.7254901960784313,0.8314606741573034
110,0.976,1.0,0.6923076923076923,0.8181818181818182
111,0.964,0.9696969696969697,0.6530612244897959,0.7804878048780488
112,0.962,1.0,0.6481481481481481,0.7865168539325843
113,0.962,0.9428571428571428,0.66,0.7764705882352941
114,0.968,0.9782608695652174,0.75,0.8490566037735849
115,0.97,0.9545454545454546,0.7636363636363637,0.8484848484848485
116,0.968,0.9512195121951219,0.7358490566037735,0.8297872340425532
117,0.98,1.0,0.7435897435897436,0.8529411764705882
118,0.968,0.9285714285714286,0.75,0.8297872340425532
119,0.958,0.8787878787878788,0.6304347826086957,0.7341772151898734
120,0.962,1.0,0.6415094339622641,0.7816091954022989
121,0.962,0.9523809523809523,0.5263157894736842,0.6779661016949152
122,0.962,0.9642857142857143,0.6,0.7397260273972602
123,0.97,1.0,0.6875,0.8148148148148148
124,0.97,0.9696969696969697,0.6956521739130435,0.810126582278481
125,0.954,1.0,0.5818181818181818,0.735632183908046
126,0.948,0.9761904761904762,0.6212121212121212,0.7592592592592593
127,0.97,0.95,0.7450980392156863,0.8351648351648352
